"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"391",15,"Brandon Johnson",DEN,"WR148","9","25","3 out of 5 stars","-"
"392",15,"Lew Nichols III",PHI,"RB124","10","22","2 out of 5 stars","-"
"393",15,"Mo Alie-Cox",IND,"TE70","11","30","4 out of 5 stars","-"
"394",15,"Marlon Mack",ARI,"RB125","14","27","1 out of 5 stars","-"
"395",15,"Craig Reynolds",DET,"RB126","9","27","4 out of 5 stars","-"
"396",15,"Mike Boone",HOU,"RB127","7","28","4 out of 5 stars","-"
"397",15,"Amari Rodgers",FA,"WR149","-","24","-","-"
"398",15,"Marquez Callaway",FA,"WR150","-","25","-","-"
"399",15,"DeAndre Carter",LV,"WR151","13","30","4 out of 5 stars","-"
"400",15,"John Bates",WAS,"TE71","14","25","5 out of 5 stars","-"
"401",15,"Demetric Felton Jr.",CIN,"RB128","7","25","3 out of 5 stars","-"
"402",15,"Darrel Williams",FA,"RB129","-","28","-","-"
"403",15,"Ben Skowronek",LAR,"WR152","10","26","3 out of 5 stars","-"
"404",15,"Dontay Demus",FA,"WR153","-","-","-","-"
"405",15,"Quez Watkins",PHI,"WR154","10","25","3 out of 5 stars","-"
"406",15,"Malik Willis",TEN,"QB52","7","24","2 out of 5 stars","-"
"407",15,"Jauan Jennings",SF,"WR155","9","26","2 out of 5 stars","-"
"408",15,"Ameer Abdullah",LV,"RB130","13","30","3 out of 5 stars","-"
"409",15,"Xazavian Valladay",NYJ,"RB131","7","25","4 out of 5 stars","-"
"410",15,"James Mitchell",DET,"TE72","9","24","3 out of 5 stars","-"
"411",15,"Jamison Crowder",WAS,"WR156","14","30","3 out of 5 stars","-"
"412",15,"Gary Brightwell",NYG,"RB132","13","24","3 out of 5 stars","-"
"413",15,"Artavis Scott",FA,"WR157","-","29","-","-"
"414",15,"Cedrick Wilson Jr.",MIA,"WR158","10","27","3 out of 5 stars","-"
"415",15,"Randall Cobb",NYJ,"WR159","7","33","4 out of 5 stars","-"
